"","subid","condition","trial.num","item","sent.type","truth","resp","agegroup"
"1","021615-02","target",6,"apple","positive","True",5,"4"
"2","021615-02","target",2,"plate","positive","True",5,"4"
"3","021615-02","target",5,"boat","negative","True",1,"4"
"4","021615-02","target",9,"cat","positive","False",1,"4"
"5","021615-02","target",15,"cow","negative","True",1,"4"
"6","021615-02","target",4,"fork","positive","True",5,"4"
"7","021615-02","target",13,"cookie","negative","False",1,"4"
"8","021615-02","target",11,"bowl","negative","True",1,"4"
"9","021615-02","target",8,"dog","positive","False",1,"4"
"10","021615-02","target",1,"orange","positive","True",4,"4"
"11","021615-02","target",3,"car","negative","True",1,"4"
"12","021615-02","target",12,"bus","negative","True",1,"4"
"13","021615-02","target",7,"truck","negative","True",1,"4"
"14","021615-02","target",14,"spoon","negative","True",1,"4"
"15","021615-02","target",10,"horse","negative","False",1,"4"
"16","021615-02","target",16,"banana","negative","True",1,"4"
"17","021615-04","target",9,"bowl","negative","False",2,"3"
"18","021615-04","target",6,"bus","negative","True",5,"3"
"19","021615-04","target",10,"dog","positive","True",5,"3"
"20","021615-04","target",8,"cat","negative","True",5,"3"
"21","021615-04","target",5,"cow","negative","True",5,"3"
"22","021615-04","target",3,"car","positive","True",5,"3"
"23","021615-04","target",14,"orange","negative","True",2,"3"
"24","021615-04","target",13,"fork","positive","False",2,"3"
"25","021615-04","target",4,"spoon","negative","True",5,"3"
"26","021615-04","target",2,"boat","negative","True",5,"3"
"27","021615-04","target",16,"banana","positive","False",2,"3"
"28","021615-04","target",12,"truck","negative","True",5,"3"
"29","021615-04","target",7,"cookie","positive","True",5,"3"
"30","021615-04","target",15,"horse","positive","True",5,"3"
"31","021615-04","target",1,"plate","negative","True",5,"3"
"32","021615-04","target",11,"apple","negative","False",2,"3"
"33","021615-06","none",9,"car","negative","True",1,"3"
"34","021615-06","none",8,"spoon","negative","False",1,"3"
"35","021615-06","none",4,"dog","negative","True",1,"3"
"36","021615-06","none",10,"truck","positive","True",5,"3"
"37","021615-06","none",13,"boat","positive","False",3,"3"
"38","021615-06","none",6,"bus","negative","True",1,"3"
"39","021615-06","none",16,"orange","negative","True",2,"3"
"40","021615-06","none",5,"bowl","positive","True",5,"3"
"41","021615-06","none",2,"cookie","negative","False",1,"3"
"42","021615-06","none",14,"cat","negative","True",3,"3"
"43","021615-06","none",3,"banana","positive","True",5,"3"
"44","021615-06","none",1,"horse","negative","True",1,"3"
"45","021615-06","none",12,"cow","positive","True",5,"3"
"46","021615-06","none",7,"plate","negative","True",3,"3"
"47","021615-06","none",11,"apple","positive","False",5,"3"
"48","021615-06","none",15,"fork","negative","True",2,"3"
"49","021615-07","target",15,"cow","negative","True",1,"3"
"50","021615-07","target",14,"cookie","positive","True",1,"3"
"51","021615-07","target",2,"boat","positive","False",1,"3"
"52","021615-07","target",13,"apple","negative","True",1,"3"
"53","021615-07","target",16,"car","negative","False",1,"3"
"54","021615-07","target",8,"fork","negative","True",1,"3"
"55","021615-07","target",10,"truck","positive","True",1,"3"
"56","021615-07","target",1,"spoon","positive","True",5,"3"
"57","021615-07","target",11,"cat","negative","True",1,"3"
"58","021615-07","target",12,"dog","negative","True",1,"3"
"59","021615-07","target",5,"bus","negative","False",1,"3"
"60","021615-07","target",9,"orange","negative","True",1,"3"
"61","021615-07","target",4,"horse","positive","False",1,"3"
"62","021615-07","target",7,"plate","negative","True",1,"3"
"63","021615-07","target",6,"bowl","positive","True",1,"3"
"64","021615-07","target",3,"banana","negative","True",1,"3"
"65","021615-09","target",13,"cow","negative","True",5,"3"
"66","021615-09","target",15,"fork","positive","True",4,"3"
"67","021615-09","target",4,"car","negative","True",1,"3"
"68","021615-09","target",3,"bowl","negative","True",2,"3"
"69","021615-09","target",2,"dog","negative","True",2,"3"
"70","021615-09","target",12,"truck","positive","True",5,"3"
"71","021615-09","target",7,"plate","negative","True",4,"3"
"72","021615-09","target",16,"cat","negative","True",4,"3"
"73","021615-09","target",8,"orange","positive","True",4,"3"
